2025-11-02 18:06:07 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:07:14 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:07:16 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:07:17 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:07:18 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:07:20 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:07:21 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:07:23 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:07:24 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:09:02 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:09:03 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:09:05 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:09:06 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:09:07 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:09:09 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:24:26 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:24:27 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:24:29 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:24:30 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
2025-11-02 18:24:32 | 🔵 BUY | RSI=0.00 | Price=6.56e-06
